codigo_tiss,codigo_tuss,produto,laboratorio,valor,cobranca
0000000001,90206584,A CURITYBINA LIQUIDO DISPLAY C/12 UNIAO,QUIMICA,0.6939,
0000003268,90328949,A SAUDE DA MULHER SOL. FR. 150 ML,EMS,11.3,
0000000010,90269470,AAS INF. 120 CPRS. 100 MG.,SANOFI-AVENTIS,0.4343,
0000000008,90269489,AAS INF. 20 X 10 CPRS. EMB. MULT. 100 MG.,SANOFI-AVENTIS,0.476,
0000000011,90217667,AAS INF. 3 X 10 CPRS. 100 MG.,SANOFI-AVENTIS,0.4535,
0000021618,90217721,AAS PROTECT 100 MG. BL. X 30 CPRS. REV.,SANOFI-AVENTIS,0.4416,
0000064758,90344235,ABELCET (RESTRITO HOSP.) 5 MG/ML SUS. INJ. EST. CART. 1 FA V,TEVA,2938.27,
0000022147,90034872,ABILIFY 10 MG. CART. 1 BL. X 10 CPRS.,B-MS,20.127,
0000012318,90034899,ABILIFY 15 MG. CART. 3 BL. X 10 CPRS.,B-MS,30.1625,
0000007220,90024958,ABLOK 100 MG. CX. 30 CPRS. BIOLAB,SANUS,1.0706,
0000007219,90024966,ABLOK 25 MG. CX. 30 CPRS. BIOLAB,SANUS,0.3367,
0000059727,90370554,"ABLOK 25/12,5MG 60CPDS BIOLAB",SANUS,0.4619,
0000007221,90024974,ABLOK 50 MG. CX. 30 CPRS. BIOLAB,SANUS,0.654,
0000007223,90024990,ABLOK PLUS 100 MG/25 MG. CX. 30 CPRS. BIOLAB,SANUS,1.372,
0000007223,90024990,ABLOK PLUS 100+25MG 30CPDS BIOLAB,SANUS,1.372,
0000058198,90288033,ABLOK PLUS 100/25 MG. CX. 60 CPRS. BIOLAB,SANUS,1.3762,
0000058200,90299760,ABLOK PLUS 100/25 MG. CX. 90 CPRS. BIOLAB,SANUS,1.3722,
0000024046,90024982,"ABLOK PLUS 25 MG + 12,5 MG. 3 BL. X 10 CPRS. BIOLAB",SANUS,0.4605,
0000059727,90370554,"ABLOK PLUS 25/12,5 MG. CX. 60 CPRS. BIOLAB",SANUS,0.4619,
0000058199,90299752,"ABLOK PLUS 25/12,5 MG. CX. 90 CPRS. BIOLAB",SANUS,0.4607,
0000007222,90025008,"ABLOK PLUS 50 MG/12,5 MG. CX. 30 CPRS. BIOLAB",SANUS,0.8508,
0000007222,90025008,"ABLOK PLUS 50+12,5MG 30CPDS BIOLAB",SANUS,0.8508,
0000058197,90288025,"ABLOK PLUS 50/12,5 MG. CX. 60 CPRS. BIOLAB",SANUS,0.8534,
0000058201,90299779,"ABLOK PLUS 50/12,5 MG. CX. 90 CPRS. BIOLAB",SANUS,0.8507,
0000071879,90392795,ABRAXANE (RESTRITO HOSP.) 100 MG. PO LIOF. SUSP. INJ. CT. FA CELGENE,BRASIL,1065.94,
0000071415,90378415,ABRETIA 30 MG. LR BL. 30 CAPS.,FARMOQUIMICA,1.8293,
0000071415,90378415,ABRETIA 30MG 30CAPS DURA LIB.RETARD.,FARMOQUIMICA,1.8275,
0000071416,90378458,ABRETIA 60 MG. LR BL. 30 CAPS.,FARMOQUIMICA,3.472,
0000071416,90378458,ABRETIA 60MG 30CAPS DURA LIB.RETARD.,FARMOQUIMICA,3.4685,
0000000012,90358708,ACARSAN LIQ. VD. 80 CC,BIOSINTETICA,9.66,
0000036429,90263189,ACCUVIT FR. PLAST. 30 CPRS. REV.,ACHE,2.7676,
0000048252,90238001,ACEBROFILINA - GENERICO (RESTRITO HOSP.) 5 MG/ML. XPE. CX. 5 PRATI,DONADUZZI,9.6858,REAL
0000029053,90234219,ACEBROFILINA - GENERICO 10 MG/ML XPE. 120 ML NOVA,QUIMICA,21.36,
