codigo_tuss,produto,produto_tratado,laboratorio,valor
90206584,A CURITYBINA LIQUIDO DISPLAY C/12 UNIAO,A 12mg,QUIMICA,0.6939
90328949,A SAUDE DA MULHER SOL. FR. 150 ML,A 150mg,EMS,11.3
90269470,AAS INF. 120 CPRS. 100 MG.,AAS 120mg,SANOFI-AVENTIS,0.4343
90269489,AAS INF. 20 X 10 CPRS. EMB. MULT. 100 MG.,AAS 20mg,SANOFI-AVENTIS,0.476
90217667,AAS INF. 3 X 10 CPRS. 100 MG.,AAS 3mg,SANOFI-AVENTIS,0.4535
90217721,AAS PROTECT 100 MG. BL. X 30 CPRS. REV.,AAS 100mg,SANOFI-AVENTIS,0.4416
90344235,ABELCET (RESTRITO HOSP.) 5 MG/ML SUS. INJ. EST. CART. 1 FA V,ABELCET 5mg,TEVA,2938.27
90034872,ABILIFY 10 MG. CART. 1 BL. X 10 CPRS.,ABILIFY 10mg,B-MS,20.127
90034899,ABILIFY 15 MG. CART. 3 BL. X 10 CPRS.,ABILIFY 15mg,B-MS,30.1625
90024958,ABLOK 100 MG. CX. 30 CPRS. BIOLAB,ABLOK 100mg,SANUS,1.0706
90024966,ABLOK 25 MG. CX. 30 CPRS. BIOLAB,ABLOK 25mg,SANUS,0.3367
90370554,"ABLOK 25/12,5MG 60CPDS BIOLAB",ABLOK 25mg,SANUS,0.4619
90024974,ABLOK 50 MG. CX. 30 CPRS. BIOLAB,ABLOK 50mg,SANUS,0.654
90024990,ABLOK PLUS 100 MG/25 MG. CX. 30 CPRS. BIOLAB,ABLOK 100mg,SANUS,1.372
90024990,ABLOK PLUS 100+25MG 30CPDS BIOLAB,ABLOK 100mg,SANUS,1.372
90288033,ABLOK PLUS 100/25 MG. CX. 60 CPRS. BIOLAB,ABLOK 100mg,SANUS,1.3762
90299760,ABLOK PLUS 100/25 MG. CX. 90 CPRS. BIOLAB,ABLOK 100mg,SANUS,1.3722
90024982,"ABLOK PLUS 25 MG + 12,5 MG. 3 BL. X 10 CPRS. BIOLAB",ABLOK 25mg,SANUS,0.4605
90370554,"ABLOK PLUS 25/12,5 MG. CX. 60 CPRS. BIOLAB",ABLOK 25mg,SANUS,0.4619
90299752,"ABLOK PLUS 25/12,5 MG. CX. 90 CPRS. BIOLAB",ABLOK 25mg,SANUS,0.4607
90025008,"ABLOK PLUS 50 MG/12,5 MG. CX. 30 CPRS. BIOLAB",ABLOK 50mg,SANUS,0.8508
90025008,"ABLOK PLUS 50+12,5MG 30CPDS BIOLAB",ABLOK 50mg,SANUS,0.8508
90288025,"ABLOK PLUS 50/12,5 MG. CX. 60 CPRS. BIOLAB",ABLOK 50mg,SANUS,0.8534
90299779,"ABLOK PLUS 50/12,5 MG. CX. 90 CPRS. BIOLAB",ABLOK 50mg,SANUS,0.8507
90392795,ABRAXANE (RESTRITO HOSP.) 100 MG. PO LIOF. SUSP. INJ. CT. FA CELGENE,ABRAXANE 100mg,BRASIL,1065.94
90378415,ABRETIA 30 MG. LR BL. 30 CAPS.,ABRETIA 30mg,FARMOQUIMICA,1.8293
90378415,ABRETIA 30MG 30CAPS DURA LIB.RETARD.,ABRETIA 30mg,FARMOQUIMICA,1.8275
90378458,ABRETIA 60 MG. LR BL. 30 CAPS.,ABRETIA 60mg,FARMOQUIMICA,3.472
90378458,ABRETIA 60MG 30CAPS DURA LIB.RETARD.,ABRETIA 60mg,FARMOQUIMICA,3.4685
90358708,ACARSAN LIQ. VD. 80 CC,ACARSAN 80mg,BIOSINTETICA,9.66
90263189,ACCUVIT FR. PLAST. 30 CPRS. REV.,ACCUVIT 30mg,ACHE,2.7676
90238001,ACEBROFILINA - GENERICO (RESTRITO HOSP.) 5 MG/ML. XPE. CX. 5 PRATI,ACEBROFILINA 5mg,DONADUZZI,9.6858
90234219,ACEBROFILINA - GENERICO 10 MG/ML XPE. 120 ML NOVA,ACEBROFILINA 1200mg,QUIMICA,21.36
90115821,ACEBROFILINA - GENERICO 10 MG/ML XPE. AD. FR. 120 ML NEO,ACEBROFILINA 1200mg,QUIMICA,21.5
90312341,ACEBROFILINA - GENERICO 10 MG/ML XPE. CT. FR. PET. AMB. X 12 TEUTO,ACEBROFILINA 10mg,BRAS.,16.39
90382773,ACEBROFILINA - GENERICO 10 MG/ML XPE. CT. FR. PLAS. AMB. X 1,ACEBROFILINA 10mg,MEDQUIMICA,24.94
90051670,ACEBROFILINA - GENERICO 25 MG/5 ML 120 ML + COPO MED.,ACEBROFILINA 25mg,EMS,15.88
90354508,ACEBROFILINA - GENERICO 25 MG/5 ML XPE. FR. 120 ML,ACEBROFILINA 25mg,GERMED,16.1
90245733,ACEBROFILINA - GENERICO 25 MG/5 ML XPE. FR. 120 ML GEN -,ACEBROFILINA 25mg,LEGRAND,16.1
90065760,ACEBROFILINA - GENERICO 25 MG/5 ML XPE. INF. FR. 120 ML.,ACEBROFILINA 25mg,EUROFARMA,15.89
90234227,ACEBROFILINA - GENERICO 5 MG/ML XPE. 120 ML NOVA,ACEBROFILINA 600mg,QUIMICA,15.17
90382765,ACEBROFILINA - GENERICO 5 MG/ML XPE. CT. FR. PLAS. AMB. X 12,ACEBROFILINA 5mg,MEDQUIMICA,16.83
90312333,ACEBROFILINA - GENERICO 5 MG/ML XPE. FR. PLAST. AMB. X 120 M TEUTO,ACEBROFILINA 5mg,BRAS.,11.88
90124588,ACEBROFILINA - GENERICO 5 MG/ML XPE. FR. VD. 120 ML + CP. ME,ACEBROFILINA 600mg,BIOSINTETICA,15.41
90316274,ACEBROFILINA - GENERICO 5 MG/ML XPE. FR. VD. 120 ML + DOS.,ACEBROFILINA 600mg,MEDLEY,15.87
90115830,ACEBROFILINA - GENERICO 5 MG/ML XPE. INF. FR. 120 ML NEO,ACEBROFILINA 600mg,QUIMICA,15.85
90339800,ACEBROFILINA - GENERICO 50 MG. 120 ML XPE. FR. PET.,ACEBROFILINA 50mg,BIOSINTETICA,21.76
90051661,ACEBROFILINA - GENERICO 50 MG/5 ML 120 ML + COPO MED.,ACEBROFILINA 50mg,EMS,22.41
90065778,ACEBROFILINA - GENERICO 50 MG/5 ML XPE. AD. FR. 120 ML.,ACEBROFILINA 50mg,EUROFARMA,22.42
90354532,ACEBROFILINA - GENERICO 50 MG/5 ML XPE. FR. 120 ML,ACEBROFILINA 50mg,GERMED,21.95
90245741,ACEBROFILINA - GENERICO 50 MG/5 ML XPE. FR. 120 ML GEN -,ACEBROFILINA 50mg,LEGRAND,21.8
90078578,ACEBROFILINA - GENERICO XPE. AD. 10 MG/ML FR. 120 ML + CP. D,ACEBROFILINA 1200mg,GEOLAB,21.06
90078586,ACEBROFILINA - GENERICO XPE. PED. 5 MG/ML FR. 120 ML + CP. D,ACEBROFILINA 600mg,GEOLAB,14.86
90312341,ACEBROFILINA GEN.10MG/ML XPE.120ML+CP TEUTO,ACEBROFILINA 1200mg,BRAS,16.39
90312333,ACEBROFILINA GEN.5ML/ML XPE.120ML+CP. TEUTO,ACEBROFILINA 5mg,BRAS,11.88
90283708,ACECLO-GRAN 100 MG. 2 BL. X 6 CPRS. REV.,ACECLO-GRAN 100mg,LEGRAND,1.9534
90256476,ACECLOFENACO - GENERICO (*) 100 MG. 2 BL. X 6 CPRS. REV.,ACECLOFENACO 100mg,EMS,2.0367
90264967,ACECLOFENACO - GENERICO (*) 100 MG. 2 BL. X 6 CPRS. REV.,ACECLOFENACO 100mg,GERMED,2.07
90264975,ACECLOFENACO - GENERICO (*) 100 MG. 4 BL. X 6 CPRS. REV.,ACECLOFENACO 100mg,GERMED,2.0708
90185870,ACECLOFENACO - GENERICO 100 MG. 1 STR. X 12 CPRS.,ACECLOFENACO 100mg,RANBAXY,2.04
90275489,ACECLOFENACO - GENERICO 100 MG. 2 BL. X 6 CPRS. REV. NOVA,ACECLOFENACO 100mg,QUIMICA,2.0267
90283856,ACECLOFENACO - GENERICO 100 MG. 2 BL. X 6 CPRS. REV. GEN -,ACECLOFENACO 100mg,LEGRAND,1.9534
90185889,ACECLOFENACO - GENERICO 100 MG. 2 STR. X 12 CPRS.,ACECLOFENACO 100mg,RANBAXY,1.9099
90275497,ACECLOFENACO - GENERICO 100 MG. 4 BL. X 6 CPRS. REV. NOVA,ACECLOFENACO 100mg,QUIMICA,1.9065
90414900,ACECLOFENACO - GENERICO 100 MG. BL. AL. 12 CPRS. ZYDUS,ACECLOFENACO 100mg,NIKKHO,2.0417
90051688,ACECLOFENACO - GENERICO 15 MG/G CREME DERM. BISN. 30 G,ACECLOFENACO 30000mg,EMS,17.35
90081145,ACECLOFENACO - GENERICO CREME BISN. 30 G,ACECLOFENACO 30000mg,GERMED,17.78
90414900,ACECLOFENACO GEN.100MG 12CPDS ZYDUS,ACECLOFENACO 100mg,NIKKHO,2.0409
90260252,ACERATUM SOL. OTOL. CT. FR. PLAST. OPC. GOT. X 10 ML CELLERA,ACERATUM 10mg,FARMA,13.67
